düzeltilmiş_hijri
tsl_dataset;;;;;;
Date;home;visitor;FT;hgoal;vgoal;result
1427-10-26;Kayserispor;Manisaspor;2-2;2;2;D
1427-10-26;Sakaryaspor;MKE Ankaragucu;0-0;0;0;D
1427-10-26;Antalyaspor;Galatasaray;0-1;0;1;A
1427-10-26;Genclerbirligi;Konyaspor;4-1;4;1;H
1427-10-27;Bursaspor;Denizlispor;1-0;1;0;H
1427-10-27;Caykur Rizespor;Kayseri Erciyesspor;0-0;0;0;D
1427-10-27;Osmanlispor FK;Gaziantepspor;2-0;2;0;H
1427-10-27;Sivasspor;Trabzonspor;1-0;1;0;H
1427-10-27;Fenerbahce;Besiktas;0-0;0;0;D
1427-11-03;Besiktas;Bursaspor;3-1;3;1;H
1427-11-04;Denizlispor;Osmanlispor FK;1-1;1;1;D
1427-11-04;Gaziantepspor;Kayserispor;1-2;1;2;A
1427-11-04;Galatasaray;Sivasspor;3-1;3;1;H
1427-11-04;Manisaspor;Konyaspor;0-1;0;1;A
1427-11-05;Caykur Rizespor;Genclerbirligi;0-1;0;1;A
1427-11-05;Kayseri Erciyesspor;Sakaryaspor;2-0;2;0;H
1427-11-05;MKE Ankaragucu;Antalyaspor;1-0;1;0;H
1427-11-05;Trabzonspor;Fenerbahce;1-2;1;2;A
1427-11-10;Bursaspor;Trabzonspor;2-1;2;1;H
1427-11-11;Kayserispor;Denizlispor;1-0;1;0;H
1427-11-11;Konyaspor;Caykur Rizespor;2-0;2;0;H
1427-11-11;Sivasspor;MKE Ankaragucu;2-1;2;1;H
1427-11-11;Osmanlispor FK;Besiktas;0-0;0;0;D
1427-11-12;Manisaspor;Gaziantepspor;4-1;4;1;H
1427-11-12;Sakaryaspor;Genclerbirligi;1-1;1;1;D
1427-11-12;Antalyaspor;Kayseri Erciyesspor;3-1;3;1;H
1427-11-12;Fenerbahce;Galatasaray;2-1;2;1;H
1427-11-17;MKE Ankaragucu;Fenerbahce;0-1;0;1;A
1427-11-18;Caykur Rizespor;Sakaryaspor;3-1;3;1;H
1427-11-18;Kayseri Erciyesspor;Sivasspor;0-0;0;0;D
1427-11-18;Besiktas;Kayserispor;2-1;2;1;H
1427-11-19;Denizlispor;Manisaspor;0-0;0;0;D
1427-11-19;Gaziantepspor;Konyaspor;1-0;1;0;H
1427-11-19;Genclerbirligi;Antalyaspor;1-0;1;0;H
1427-11-19;Trabzonspor;Osmanlispor FK;3-0;3;0;H
1427-11-19;Galatasaray;Bursaspor;3-1;3;1;H
1428-01-07;Kayseri Erciyesspor;Fenerbahce;1-1;1;1;D
1428-01-08;Genclerbirligi;Sivasspor;0-1;0;1;A
1428-01-08;Galatasaray;Osmanlispor FK;2-0;2;0;H
1428-01-09;Caykur Rizespor;Antalyaspor;1-0;1;0;H
1428-01-09;Denizlispor;Gaziantepspor;0-2;0;2;A
1428-01-09;MKE Ankaragucu;Bursaspor;1-1;1;1;D
1428-01-09;Sakaryaspor;Konyaspor;1-1;1;1;D
1428-01-09;Trabzonspor;Kayserispor;0-0;0;0;D
1428-01-09;Besiktas;Manisaspor;3-1;3;1;H
1428-01-14;Fenerbahce;Genclerbirligi;2-1;2;1;H
1428-01-15;Antalyaspor;Sakaryaspor;1-0;1;0;H
1428-01-15;Konyaspor;Denizlispor;5-1;5;1;H
1428-01-15;Manisaspor;Trabzonspor;0-0;0;0;D
1428-01-16;Osmanlispor FK;MKE Ankaragucu;1-0;1;0;H
1428-01-16;Sivasspor;Caykur Rizespor;1-0;1;0;H
1428-01-16;Gaziantepspor;Besiktas;0-0;0;0;D
1428-01-16;Kayserispor;Galatasaray;0-0;0;0;D
1428-01-16;Bursaspor;Kayseri Erciyesspor;0-0;0;0;D
1428-01-22;MKE Ankaragucu;Kayserispor;0-4;0;4;A
1428-01-22;Caykur Rizespor;Fenerbahce;2-1;2;1;H
1428-01-22;Besiktas;Denizlispor;2-0;2;0;H
1428-01-23;Galatasaray;Manisaspor;4-0;4;0;H
1428-01-23;Sakaryaspor;Sivasspor;1-3;1;3;A
1428-01-23;Trabzonspor;Gaziantepspor;2-0;2;0;H
1428-01-23;Genclerbirligi;Bursaspor;1-0;1;0;H
1428-01-23;Antalyaspor;Konyaspor;1-0;1;0;H
1428-01-23;Kayseri Erciyesspor;Osmanlispor FK;1-0;1;0;H
1428-01-28;Konyaspor;Besiktas;2-1;2;1;H
1428-01-29;Gaziantepspor;Galatasaray;1-0;1;0;H
1428-01-29;Bursaspor;Caykur Rizespor;1-0;1;0;H
1428-01-30;Kayserispor;Kayseri Erciyesspor;1-0;1;0;H
1428-01-30;Manisaspor;MKE Ankaragucu;0-1;0;1;A
1428-01-30;Osmanlispor FK;Genclerbirligi;1-2;1;2;A
1428-01-30;Sivasspor;Antalyaspor;0-1;0;1;A
1428-01-30;Denizlispor;Trabzonspor;3-4;3;4;A
1428-01-30;Fenerbahce;Sakaryaspor;1-0;1;0;H
1428-02-05;Galatasaray;Denizlispor;1-1;1;1;D
1428-02-05;Kayseri Erciyesspor;Manisaspor;1-0;1;0;H
1428-02-06;Trabzonspor;Besiktas;3-2;3;2;H
1428-02-06;MKE Ankaragucu;Gaziantepspor;2-1;2;1;H
1428-02-07;Antalyaspor;Fenerbahce;1-0;1;0;H
1428-02-07;Genclerbirligi;Kayserispor;2-2;2;2;D
1428-02-07;Sivasspor;Konyaspor;1-3;1;3;A
1428-02-07;Sakaryaspor;Bursaspor;1-3;1;3;A
1428-02-07;Caykur Rizespor;Osmanlispor FK;1-1;1;1;D
1428-02-12;Bursaspor;Antalyaspor;0-0;0;0;D
1428-02-13;Besiktas;Galatasaray;2-1;2;1;H
1428-02-13;Denizlispor;MKE Ankaragucu;1-0;1;0;H
1428-02-13;Kayserispor;Caykur Rizespor;1-0;1;0;H
1428-02-14;Konyaspor;Trabzonspor;1-2;1;2;A
1428-02-14;Gaziantepspor;Kayseri Erciyesspor;0-1;0;1;A
1428-02-14;Manisaspor;Genclerbirligi;0-3;0;3;A
1428-02-14;Osmanlispor FK;Sakaryaspor;1-0;1;0;H
1428-02-14;Fenerbahce;Sivasspor;2-2;2;2;D
1428-02-19;Sakaryaspor;Kayserispor;3-3;3;3;D
1428-02-20;Genclerbirligi;Gaziantepspor;0-0;0;0;D
1428-02-20;Fenerbahce;Konyaspor;3-0;3;0;H
1428-02-20;Sivasspor;Bursaspor;3-1;3;1;H
1428-02-21;Antalyaspor;Osmanlispor FK;1-1;1;1;D
1428-02-21;Caykur Rizespor;Manisaspor;3-1;3;1;H
1428-02-21;Kayseri Erciyesspor;Denizlispor;2-0;2;0;H
1428-02-21;MKE Ankaragucu;Besiktas;0-1;0;1;A
1428-02-21;Galatasaray;Trabzonspor;2-1;2;1;H
1428-02-26;Konyaspor;Galatasaray;2-2;2;2;D
1428-02-27;Gaziantepspor;Caykur Rizespor;1-0;1;0;H
1428-02-27;Denizlispor;Genclerbirligi;3-2;3;2;H
1428-02-27;Kayserispor;Antalyaspor;4-4;4;4;D
1428-02-27;Manisaspor;Sakaryaspor;0-3;0;3;A
1428-02-27;Osmanlispor FK;Sivasspor;2-1;2;1;H
1428-02-27;Trabzonspor;MKE Ankaragucu;0-1;0;1;A
1428-02-27;Bursaspor;Fenerbahce;0-4;0;4;A
1428-02-28;Besiktas;Kayseri Erciyesspor;1-0;1;0;H
1428-03-13;Bursaspor;Konyaspor;1-0;1;0;H
1428-03-13;Caykur Rizespor;Denizlispor;2-2;2;2;D
1428-03-13;Fenerbahce;Osmanlispor FK;2-1;2;1;H
1428-03-13;Sakaryaspor;Gaziantepspor;1-2;1;2;A
1428-03-13;Sivasspor;Kayserispor;3-2;3;2;H
1428-03-13;MKE Ankaragucu;Galatasaray;1-2;1;2;A
1428-03-13;Antalyaspor;Manisaspor;1-0;1;0;H
1428-03-14;Kayseri Erciyesspor;Trabzonspor;0-1;0;1;A
1428-03-14;Genclerbirligi;Besiktas;0-2;0;2;A
1428-03-18;Galatasaray;Kayseri Erciyesspor;0-1;0;1;A
1428-03-19;Besiktas;Caykur Rizespor;1-0;1;0;H
1428-03-19;Trabzonspor;Genclerbirligi;4-3;4;3;H
1428-03-19;Kayserispor;Fenerbahce;2-2;2;2;D
1428-03-20;Denizlispor;Sakaryaspor;1-0;1;0;H
1428-03-20;Gaziantepspor;Antalyaspor;0-0;0;0;D
1428-03-20;Manisaspor;Sivasspor;1-0;1;0;H
1428-03-20;Osmanlispor FK;Bursaspor;0-0;0;0;D
1428-03-20;Konyaspor;MKE Ankaragucu;2-0;2;0;H
1428-03-25;Genclerbirligi;Galatasaray;1-3;1;3;A
1428-03-26;Sakaryaspor;Besiktas;1-1;1;1;D
1428-03-27;Antalyaspor;Denizlispor;1-1;1;1;D
1428-03-27;Bursaspor;Kayserispor;0-3;0;3;A
1428-03-27;Kayseri Erciyesspor;MKE Ankaragucu;0-1;0;1;A
1428-03-27;Osmanlispor FK;Konyaspor;4-2;4;2;H
1428-03-27;Sivasspor;Gaziantepspor;2-1;2;1;H
1428-03-27;Fenerbahce;Manisaspor;0-0;0;0;D
1428-03-27;Caykur Rizespor;Trabzonspor;3-2;3;2;H
1428-04-02;Gaziantepspor;Fenerbahce;0-2;0;2;A
1428-04-03;Trabzonspor;Sakaryaspor;5-2;5;2;H
1428-04-03;Konyaspor;Kayseri Erciyesspor;1-1;1;1;D
1428-04-03;Besiktas;Antalyaspor;1-0;1;0;H
1428-04-04;Denizlispor;Sivasspor;2-0;2;0;H
1428-04-04;Kayserispor;Osmanlispor FK;3-3;3;3;D
1428-04-04;Manisaspor;Bursaspor;4-1;4;1;H
1428-04-04;MKE Ankaragucu;Genclerbirligi;0-0;0;0;D
1428-04-04;Galatasaray;Caykur Rizespor;3-1;3;1;H
1428-04-10;Genclerbirligi;Kayseri Erciyesspor;1-2;1;2;A
1428-04-10;Bursaspor;Gaziantepspor;1-1;1;1;D
1428-04-10;Caykur Rizespor;MKE Ankaragucu;3-1;3;1;H
1428-04-10;Kayserispor;Konyaspor;2-1;2;1;H
1428-04-10;Osmanlispor FK;Manisaspor;1-1;1;1;D
1428-04-10;Antalyaspor;Trabzonspor;1-2;1;2;A
1428-04-10;Sakaryaspor;Galatasaray;0-3;0;3;A
1428-04-11;Sivasspor;Besiktas;0-1;0;1;A
1428-04-11;Fenerbahce;Denizlispor;2-2;2;2;D
1428-04-16;Trabzonspor;Sivasspor;2-0;2;0;H
1428-04-17;Denizlispor;Bursaspor;0-0;0;0;D
1428-04-17;Konyaspor;Genclerbirligi;2-1;2;1;H
1428-04-17;Manisaspor;Kayserispor;1-0;1;0;H
1428-04-17;MKE Ankaragucu;Sakaryaspor;1-0;1;0;H
1428-04-17;Besiktas;Fenerbahce;0-1;0;1;A
1428-04-17;Gaziantepspor;Osmanlispor FK;0-2;0;2;A
1428-04-17;Kayseri Erciyesspor;Caykur Rizespor;1-1;1;1;D
1428-04-18;Galatasaray;Antalyaspor;1-1;1;1;D
1428-04-25;Bursaspor;Besiktas;3-0;3;0;H
1428-04-25;Fenerbahce;Trabzonspor;2-2;2;2;D
1428-04-25;Genclerbirligi;Caykur Rizespor;2-1;2;1;H
1428-04-25;Kayserispor;Gaziantepspor;1-2;1;2;A
1428-04-25;Konyaspor;Manisaspor;1-0;1;0;H
1428-04-25;Osmanlispor FK;Denizlispor;1-1;1;1;D
1428-04-25;Sakaryaspor;Kayseri Erciyesspor;1-2;1;2;A
1428-04-25;Sivasspor;Galatasaray;1-1;1;1;D
1428-04-25;Antalyaspor;MKE Ankaragucu;0-1;0;1;A
1428-05-02;Galatasaray;Fenerbahce;1-2;1;2;A
1428-05-02;Genclerbirligi;Sakaryaspor;1-0;1;0;H
1428-05-02;Besiktas;Osmanlispor FK;2-1;2;1;H
1428-05-03;Caykur Rizespor;Konyaspor;1-0;1;0;H
1428-05-03;Denizlispor;Kayserispor;2-1;2;1;H
1428-05-03;Gaziantepspor;Manisaspor;0-0;0;0;D
1428-05-03;Kayseri Erciyesspor;Antalyaspor;0-0;0;0;D
1428-05-03;MKE Ankaragucu;Sivasspor;1-4;1;4;A
1428-05-03;Trabzonspor;Bursaspor;3-1;3;1;H
1428-05-08;Bursaspor;Galatasaray;2-0;2;0;H
1428-05-08;Osmanlispor FK;Trabzonspor;2-1;2;1;H
1428-05-08;Kayserispor;Besiktas;3-0;3;0;H
1428-05-09;Manisaspor;Denizlispor;0-0;0;0;D
1428-05-09;Sakaryaspor;Caykur Rizespor;1-1;1;1;D
1428-05-09;Sivasspor;Kayseri Erciyesspor;2-1;2;1;H
1428-05-09;Fenerbahce;MKE Ankaragucu;3-1;3;1;H
1428-05-09;Antalyaspor;Genclerbirligi;1-3;1;3;A
1428-05-09;Konyaspor;Gaziantepspor;0-2;0;2;A
1428-07-26;Basaksehir FK;Fenerbahce;2-0;2;0;H
1428-07-27;Osmanlispor FK;MKE Ankaragucu;1-2;1;2;A
1428-07-27;Besiktas;Konyaspor;1-0;1;0;H
1428-07-28;Trabzonspor;Sivasspor;0-3;0;3;A
1428-07-28;Denizlispor;Bursaspor;0-0;0;0;D
1428-07-28;Gaziantepspor;Kasimpasa;2-0;2;0;H
1428-07-28;Genclerbirligi;Hacettepe Spor;1-2;1;2;A
1428-07-28;Galatasaray;Caykur Rizespor;4-0;4;0;H
1428-07-28;Kayserispor;Manisaspor;3-1;3;1;H
1428-08-03;Hacettepe Spor;Trabzonspor;0-2;0;2;A
1428-08-04;Fenerbahce;Gaziantepspor;2-1;2;1;H
1428-08-05;Bursaspor;Galatasaray;0-1;0;1;A
1428-08-05;Caykur Rizespor;Genclerbirligi;0-2;0;2;A
1428-08-05;Konyaspor;Kayserispor;1-1;1;1;D
1428-08-05;Manisaspor;Osmanlispor FK;2-1;2;1;H
1428-08-05;MKE Ankaragucu;Denizlispor;3-2;3;2;H
1428-08-05;Sivasspor;Basaksehir FK;2-1;2;1;H
1428-08-05;Kasimpasa;Besiktas;1-2;1;2;A
1428-08-11;Basaksehir FK;Hacettepe Spor;1-0;1;0;H
1428-08-11;Genclerbirligi;Bursaspor;1-3;1;3;A
1428-08-11;Gaziantepspor;Besiktas;0-1;0;1;A
1428-08-11;Fenerbahce;Sivasspor;1-0;1;0;H
1428-08-12;Trabzonspor;Caykur Rizespor;5-1;5;1;H
1428-08-12;Denizlispor;Manisaspor;3-2;3;2;H
1428-08-12;Kayserispor;Kasimpasa;2-0;2;0;H
1428-08-12;Osmanlispor FK;Konyaspor;1-1;1;1;D
1428-08-12;Galatasaray;MKE Ankaragucu;1-0;1;0;H
1428-08-17;Bursaspor;Trabzonspor;1-1;1;1;D
1428-08-18;Caykur Rizespor;Basaksehir FK;3-1;3;1;H
1428-08-18;Konyaspor;Denizlispor;2-2;2;2;D
1428-08-18;MKE Ankaragucu;Genclerbirligi;2-2;2;2;D
1428-08-18;Besiktas;Kayserispor;0-0;0;0;D
1428-08-19;Manisaspor;Galatasaray;2-2;2;2;D
1428-08-19;Kasimpasa;Osmanlispor FK;3-1;3;1;H
1428-08-19;Sivasspor;Gaziantepspor;2-0;2;0;H
1428-08-19;Hacettepe Spor;Fenerbahce;1-1;1;1;D
1428-09-03;Osmanlispor FK;Besiktas;0-0;0;0;D
1428-09-03;Denizlispor;Kasimpasa;0-1;0;1;A
1428-09-03;Sivasspor;Hacettepe Spor;1-0;1;0;H
1428-09-03;Fenerbahce;Caykur Rizespor;1-1;1;1;D
1428-09-04;Trabzonspor;MKE Ankaragucu;0-0;0;0;D
1428-09-04;Genclerbirligi;Manisaspor;0-2;0;2;A
1428-09-04;Basaksehir FK;Bursaspor;1-0;1;0;H
1428-09-04;Gaziantepspor;Kayserispor;4-3;4;3;H
1428-09-04;Galatasaray;Konyaspor;6-0;6;0;H
1428-09-09;Manisaspor;Trabzonspor;1-1;1;1;D
1428-09-09;MKE Ankaragucu;Basaksehir FK;1-0;1;0;H
1428-09-10;Besiktas;Denizlispor;3-2;3;2;H
1428-09-10;Kayserispor;Osmanlispor FK;3-1;3;1;H
1428-09-10;Konyaspor;Genclerbirligi;1-1;1;1;D
1428-09-11;Kasimpasa;Galatasaray;0-1;0;1;A
1428-09-11;Bursaspor;Fenerbahce;1-1;1;1;D
1428-09-11;Caykur Rizespor;Sivasspor;0-2;0;2;A
1428-09-11;Hacettepe Spor;Gaziantepspor;1-2;1;2;A
1428-09-16;Fenerbahce;MKE Ankaragucu;2-0;2;0;H
1428-09-17;Galatasaray;Besiktas;2-1;2;1;H
1428-09-17;Hacettepe Spor;Caykur Rizespor;2-0;2;0;H
1428-09-18;Basaksehir FK;Manisaspor;4-1;4;1;H
1428-09-18;Gaziantepspor;Osmanlispor FK;1-0;1;0;H
1428-09-18;Genclerbirligi;Kasimpasa;3-1;3;1;H
1428-09-18;Sivasspor;Bursaspor;3-2;3;2;H
1428-09-18;Trabzonspor;Konyaspor;1-0;1;0;H
1428-09-18;Denizlispor;Kayserispor;2-0;2;0;H
1428-09-23;Kasimpasa;Trabzonspor;0-0;0;0;D
1428-09-24;Bursaspor;Hacettepe Spor;1-1;1;1;D
1428-09-24;Osmanlispor FK;Denizlispor;0-0;0;0;D
1428-09-24;Manisaspor;Fenerbahce;1-1;1;1;D
1428-09-25;Konyaspor;Basaksehir FK;3-2;3;2;H
1428-09-25;MKE Ankaragucu;Sivasspor;2-2;2;2;D
1428-09-25;Kayserispor;Galatasaray;1-1;1;1;D
1428-09-25;Besiktas;Genclerbirligi;1-0;1;0;H
1428-09-25;Caykur Rizespor;Gaziantepspor;2-1;2;1;H
1428-10-08;Gaziantepspor;Denizlispor;1-2;1;2;A
1428-10-08;Genclerbirligi;Kayserispor;1-1;1;1;D
1428-10-08;Trabzonspor;Besiktas;2-3;2;3;A
1428-10-08;Fenerbahce;Konyaspor;4-1;4;1;H
1428-10-08;Basaksehir FK;Kasimpasa;2-0;2;0;H
1428-10-08;Caykur Rizespor;Bursaspor;2-0;2;0;H
1428-10-09;Galatasaray;Osmanlispor FK;0-0;0;0;D
1428-10-10;Hacettepe Spor;MKE Ankaragucu;2-1;2;1;H
1428-10-10;Sivasspor;Manisaspor;1-0;1;0;H
1428-10-14;Kayserispor;Trabzonspor;1-0;1;0;H
1428-10-15;Kasimpasa;Fenerbahce;1-2;1;2;A
1428-10-15;Osmanlispor FK;Genclerbirligi;2-0;2;0;H
1428-10-15;Manisaspor;Hacettepe Spor;0-2;0;2;A
1428-10-15;Bursaspor;Gaziantepspor;1-1;1;1;D
1428-10-16;Konyaspor;Sivasspor;2-1;2;1;H
1428-10-16;MKE Ankaragucu;Caykur Rizespor;1-0;1;0;H
1428-10-16;Besiktas;Basaksehir FK;0-0;0;0;D
1428-10-16;Denizlispor;Galatasaray;1-2;1;2;A
1428-10-21;Trabzonspor;Osmanlispor FK;2-1;2;1;H
1428-10-22;Hacettepe Spor;Konyaspor;0-1;0;1;A
1428-10-22;Fenerbahce;Besiktas;2-1;2;1;H
1428-10-23;Gaziantepspor;Galatasaray;1-1;1;1;D
1428-10-23;Caykur Rizespor;Manisaspor;1-4;1;4;A
1428-10-23;Basaksehir FK;Kayserispor;1-1;1;1;D
1428-10-23;Bursaspor;MKE Ankaragucu;2-1;2;1;H
1428-10-23;Genclerbirligi;Denizlispor;1-2;1;2;A
1428-10-23;Sivasspor;Kasimpasa;4-0;4;0;H
1428-10-28;Denizlispor;Trabzonspor;2-0;2;0;H
1428-10-29;Besiktas;Sivasspor;1-2;1;2;A
1428-10-29;MKE Ankaragucu;Gaziantepspor;1-0;1;0;H
1428-10-29;Osmanlispor FK;Basaksehir FK;1-1;1;1;D
1428-10-29;Manisaspor;Bursaspor;1-1;1;1;D
1428-10-29;Konyaspor;Caykur Rizespor;2-1;2;1;H
1428-10-29;Kasimpasa;Hacettepe Spor;1-3;1;3;A
1428-11-01;Kayserispor;Fenerbahce;2-1;2;1;H
1428-11-01;Galatasaray;Genclerbirligi;3-2;3;2;H
1428-11-14;Hacettepe Spor;Besiktas;0-1;0;1;A
1428-11-14;Fenerbahce;Osmanlispor FK;4-2;4;2;H
1428-11-14;Basaksehir FK;Denizlispor;0-2;0;2;A
1428-11-15;Bursaspor;Konyaspor;1-0;1;0;H
1428-11-15;Caykur Rizespor;Kasimpasa;2-0;2;0;H
1428-11-15;Gaziantepspor;Genclerbirligi;2-2;2;2;D
1428-11-15;MKE Ankaragucu;Manisaspor;1-0;1;0;H
1428-11-15;Sivasspor;Kayserispor;1-0;1;0;H
1428-11-15;Trabzonspor;Galatasaray;0-1;0;1;A
1428-11-20;Genclerbirligi;Trabzonspor;2-1;2;1;H
1428-11-21;Denizlispor;Fenerbahce;0-1;0;1;A
1428-11-21;Kasimpasa;Bursaspor;0-2;0;2;A
1428-11-21;Konyaspor;MKE Ankaragucu;1-0;1;0;H
1428-11-22;Kayserispor;Hacettepe Spor;1-1;1;1;D
1428-11-22;Osmanlispor FK;Sivasspor;2-0;2;0;H
1428-11-22;Manisaspor;Gaziantepspor;1-0;1;0;H
1428-11-22;Galatasaray;Basaksehir FK;2-2;2;2;D
1428-11-22;Besiktas;Caykur Rizespor;1-1;1;1;D
1428-11-27;Bursaspor;Besiktas;0-1;0;1;A
1428-11-28;Caykur Rizespor;Kayserispor;0-0;0;0;D
1428-11-28;MKE Ankaragucu;Kasimpasa;2-2;2;2;D
1428-11-28;Fenerbahce;Galatasaray;2-0;2;0;H
1428-11-29;Basaksehir FK;Genclerbirligi;0-0;0;0;D
1428-11-29;Hacettepe Spor;Osmanlispor FK;0-0;0;0;D
1428-11-29;Konyaspor;Manisaspor;4-2;4;2;H
1428-11-29;Sivasspor;Denizlispor;2-0;2;0;H
1428-11-29;Trabzonspor;Gaziantepspor;3-2;3;2;H
1428-12-04;Galatasaray;Sivasspor;2-0;2;0;H
1428-12-05;Osmanlispor FK;Caykur Rizespor;1-2;1;2;A
1428-12-05;Trabzonspor;Basaksehir FK;2-1;2;1;H
1428-12-05;Gaziantepspor;Konyaspor;2-1;2;1;H
1428-12-06;Denizlispor;Hacettepe Spor;2-1;2;1;H
1428-12-06;Kasimpasa;Manisaspor;2-2;2;2;D
1428-12-06;Kayserispor;Bursaspor;4-1;4;1;H
1428-12-06;Genclerbirligi;Fenerbahce;1-2;1;2;A
1428-12-06;Besiktas;MKE Ankaragucu;3-1;3;1;H
1428-12-11;Manisaspor;Besiktas;1-2;1;2;A
1428-12-12;Konyaspor;Kasimpasa;2-1;2;1;H
1428-12-12;MKE Ankaragucu;Kayserispor;1-1;1;1;D
1428-12-12;Fenerbahce;Trabzonspor;3-2;3;2;H
1428-12-13;Caykur Rizespor;Denizlispor;2-0;2;0;H
1428-12-13;Hacettepe Spor;Galatasaray;0-0;0;0;D
1428-12-13;Basaksehir FK;Gaziantepspor;1-2;1;2;A
1428-12-13;Sivasspor;Genclerbirligi;2-0;2;0;H
1428-12-13;Bursaspor;Osmanlispor FK;0-0;0;0;D
1429-01-03;Konyaspor;Besiktas;1-2;1;2;A
1429-01-03;Caykur Rizespor;Galatasaray;2-5;2;5;A
1429-01-03;Kasimpasa;Gaziantepspor;0-1;0;1;A
1429-01-03;Hacettepe Spor;Genclerbirligi;1-1;1;1;D
1429-01-04;Bursaspor;Denizlispor;1-1;1;1;D
1429-01-04;Manisaspor;Kayserispor;0-1;0;1;A
1429-01-04;MKE Ankaragucu;Osmanlispor FK;1-1;1;1;D
1429-01-04;Sivasspor;Trabzonspor;2-0;2;0;H
1429-01-04;Fenerbahce;Basaksehir FK;2-2;2;2;D
1429-01-10;Trabzonspor;Hacettepe Spor;1-2;1;2;A
1429-01-10;Basaksehir FK;Sivasspor;0-2;0;2;A
1429-01-10;Besiktas;Kasimpasa;4-2;4;2;H
1429-01-11;Genclerbirligi;Caykur Rizespor;4-1;4;1;H
1429-01-11;Kayserispor;Konyaspor;3-0;3;0;H
1429-01-11;Osmanlispor FK;Manisaspor;1-0;1;0;H
1429-01-11;Gaziantepspor;Fenerbahce;0-5;0;5;A
1429-01-11;Galatasaray;Bursaspor;1-0;1;0;H
1429-01-11;Denizlispor;MKE Ankaragucu;1-1;1;1;D
1429-01-17;Hacettepe Spor;Basaksehir FK;3-2;3;2;H
1429-01-17;Besiktas;Gaziantepspor;3-1;3;1;H
1429-01-18;Kasimpasa;Kayserispor;0-2;0;2;A
1429-01-18;Manisaspor;Denizlispor;3-2;3;2;H
1429-01-18;Konyaspor;Osmanlispor FK;1-3;1;3;A
1429-01-18;Sivasspor;Fenerbahce;1-4;1;4;A
1429-01-18;MKE Ankaragucu;Galatasaray;0-4;0;4;A
1429-01-19;Bursaspor;Genclerbirligi;2-1;2;1;H
1429-01-19;Caykur Rizespor;Trabzonspor;0-4;0;4;A
1429-02-01;Basaksehir FK;Caykur Rizespor;2-1;2;1;H
1429-02-01;Kayserispor;Besiktas;2-0;2;0;H
1429-02-01;Galatasaray;Manisaspor;6-3;6;3;H
1429-02-02;Denizlispor;Konyaspor;2-1;2;1;H
1429-02-02;Gaziantepspor;Sivasspor;0-0;0;0;D
1429-02-02;Genclerbirligi;MKE Ankaragucu;1-0;1;0;H
1429-02-02;Osmanlispor FK;Kasimpasa;2-0;2;0;H
1429-02-02;Fenerbahce;Hacettepe Spor;3-1;3;1;H
1429-02-02;Trabzonspor;Bursaspor;2-1;2;1;H
1429-02-07;Caykur Rizespor;Fenerbahce;2-4;2;4;A
1429-02-08;Bursaspor;Basaksehir FK;2-2;2;2;D
1429-02-08;Hacettepe Spor;Sivasspor;0-1;0;1;A
1429-02-08;Besiktas;Osmanlispor FK;3-2;3;2;H
1429-02-09;Kasimpasa;Denizlispor;1-0;1;0;H
1429-02-09;Kayserispor;Gaziantepspor;3-1;3;1;H
1429-02-09;Manisaspor;Genclerbirligi;1-2;1;2;A
1429-02-09;MKE Ankaragucu;Trabzonspor;0-2;0;2;A
1429-02-10;Konyaspor;Galatasaray;0-1;0;1;A
1429-02-14;Denizlispor;Besiktas;1-2;1;2;A
1429-02-15;Gaziantepspor;Hacettepe Spor;1-1;1;1;D
1429-02-15;Fenerbahce;Bursaspor;0-2;0;2;A
1429-02-15;Genclerbirligi;Konyaspor;6-1;6;1;H
1429-02-16;Sivasspor;Caykur Rizespor;0-0;0;0;D
1429-02-16;Trabzonspor;Manisaspor;2-2;2;2;D
1429-02-16;Galatasaray;Kasimpasa;0-1;0;1;A
1429-02-16;Basaksehir FK;MKE Ankaragucu;1-2;1;2;A
1429-02-16;Osmanlispor FK;Kayserispor;0-3;0;3;A
1429-02-21;Konyaspor;Trabzonspor;1-0;1;0;H
1429-02-22;Kasimpasa;Genclerbirligi;0-0;0;0;D
1429-02-22;Manisaspor;Basaksehir FK;1-1;1;1;D
1429-02-22;MKE Ankaragucu;Fenerbahce;0-0;0;0;D
1429-02-23;Caykur Rizespor;Hacettepe Spor;0-0;0;0;D
1429-02-23;Besiktas;Galatasaray;1-0;1;0;H
1429-02-23;Bursaspor;Sivasspor;0-1;0;1;A
1429-02-23;Osmanlispor FK;Gaziantepspor;1-1;1;1;D
1429-02-23;Kayserispor;Denizlispor;1-1;1;1;D
1429-02-28;Genclerbirligi;Besiktas;1-2;1;2;A
1429-02-29;Galatasaray;Kayserispor;2-0;2;0;H
1429-02-29;Basaksehir FK;Konyaspor;5-0;5;0;H
1429-02-29;Denizlispor;Osmanlispor FK;1-0;1;0;H
1429-03-01;Hacettepe Spor;Bursaspor;2-2;2;2;D
1429-03-01;Sivasspor;MKE Ankaragucu;3-2;3;2;H
1429-03-01;Trabzonspor;Kasimpasa;2-1;2;1;H
1429-03-01;Fenerbahce;Manisaspor;4-1;4;1;H
1429-03-01;Gaziantepspor;Caykur Rizespor;1-1;1;1;D
1429-03-06;Manisaspor;Sivasspor;1-1;1;1;D
1429-03-07;Bursaspor;Caykur Rizespor;2-1;2;1;H
